date,Rockbound 2050,Vanguard 2050,S&P 500
2021-01-29,10000.0,10000.0,10000.0
2021-02-26,10257.92159635868,10238.305127401994,10278.054530847745
2021-03-31,10431.75820513868,10483.22917678255,10744.67316350756
2021-04-30,11212.15793970197,10884.818903467918,11313.176483101492
2021-05-31,12121.629303320671,11072.372503400076,11377.429623495484
2021-06-30,12121.629303320671,11176.0799659696,11642.85225885571
2021-07-30,12887.946711218512,11242.276024662011,11927.082716785995
2021-08-31,13657.736819899852,11482.78783932946,12282.03200103748
2021-09-30,12780.037622221416,11052.513457828794,11709.620470684977
2021-10-29,15247.248291333015,11553.397272552776,12531.207822640734
2021-11-30,15247.248291333015,11281.992975986774,12430.522807996427
2021-12-31,15491.380517493983,13064.012623710123,13005.405239228616
2022-01-31,14343.702490781343,12481.842702407705,12319.486865355251
2022-02-28,14343.702490781343,12164.294021929183,11955.850999641516
2022-03-31,14260.59942587661,12325.854076877518,12405.276685243629
2022-04-29,12867.652670422962,11403.852037059578,11316.475140192932
2022-05-31,12867.652670422962,11448.420052951373,11342.021622723742
2022-06-30,12365.809167314334,10573.771743734305,10406.753395258102
2022-07-29,11788.959734591805,11270.147989384192,11365.083953208192
2022-08-31,11788.959734591805,10843.966693611957,10901.366442639504
2022-09-30,11487.735996445886,9871.82406866627,9893.579880417945
2022-10-31,12525.933857883116,10414.997403495043,10697.687176704669
2022-11-30,12350.295437199768,11239.506267402166,11292.387169407692
2022-12-30,11863.982515683938,10807.78089783904,10641.626790961438
2023-01-31,12529.889094264472,11571.187548812699,11310.850461644151
2023-02-28,12295.909883738726,11225.224350338049,11026.466290180415
2023-03-31,12817.293648058881,11525.440961313217,11435.302768840116
2023-04-28,12962.514178331472,11665.541666495696,11617.981585825426
2023-05-31,12801.12335842701,11542.595219239396,11671.611707600114
2023-06-30,13394.738067589775,12143.028441189734,12427.92999638332
2023-07-31,13810.203161745627,12546.176298810988,12834.737279719235
2023-08-31,13302.23771103518,12211.648892347856,12626.14536459172
2023-09-29,12409.600001970315,11722.725185824496,12027.229734063223
2023-10-31,12126.479288382805,11393.916245276027,11766.13669656189
2023-11-30,12831.753188583232,12363.187669177458,12840.900839046208
2023-12-29,13572.409359868396,12988.423326508106,13427.157188342722
2024-01-31,13582.640475623886,12982.577200999576,13641.003632763175
2024-02-29,14258.246052128023,13488.203797599363,14352.884575801003
2024-03-29,16332.308169334136,13879.842914869745,14822.253267251828
2024-04-30,14908.999911108438,13409.290791685533,14224.624766713212
2024-05-31,15087.278828804103,13958.754780965774,14944.102161901343
2024-06-28,15692.422541613172,14163.342957954856,15471.33251435234
2024-07-31,16442.60433503628,14476.071348947013,15658.677508830137
2024-08-30,16846.03617746641,14791.721092966727,16024.549288067821
2024-09-30,17871.866350148364,15113.216962494975,16361.139522594038
2024-10-31,16094.517284058911,14765.417517540653,16215.139934970342
2024-11-29,17466.662509968697,15303.19153543944,17182.105836538205
2024-12-31,15891.922331407191,14892.012521582445,16768.6994721972
2025-01-31,16013.185892836838,15325.267526636397,17219.048322411134
2025-02-28,16168.574345821558,15286.423675748272,17000.455310087018
2025-03-31,15979.700709320836,14808.349894885998,16053.20361088992
2025-04-30,16634.847943116656,14945.795964406676,15914.018656582592
2025-05-30,17573.28051647965,15698.763024128115,16914.135443531573
2025-06-30,18930.581210400836,16371.054919613201,17783.288299979562
2025-07-31,18686.263617979315,16514.477053871884,18192.86419373984
2025-08-29,20255.905900308524,16983.587307536058,18566.17252771659
2025-09-30,22205.238236639263,17545.324854912582,19227.506453759885
2025-10-31,21823.104718293984,17865.036909580067,19685.841340424424
2025-11-28,23485.83100164505,17912.844287666296,19724.227320054026
2025-12-31,24781.10626519487,17862.048307302164,19982.828254808992
